1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,7,1
1,2,2,2,6,6,6,2,2,2,2,2,2,6,6,6,6,2,2,2,2,2,2,6,6,6,2,2,2,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,7,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,7,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,7,-1,1
1,6,6,6,-1,-1,-1,-1,-1,-1,1,6,6,5,5,5,5,6,6,1,-1,-1,-1,-1,-1,-1,6,6,6,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,2,2,2,2,4,4,4,4,4,4,4,4,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,7,-1,1,10,10,10,10,10,10,10,10,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,8,-1,-1,-1,6,6,6,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,8,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,7,-1,1,-1,-1,7,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,6,6,1,6,6,6,6,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,-1,-1,-1,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,-1,1
1,2,2,2,-1,8,-1,2,2,2,2,6,6,6,2,4,4,4,4,2,2,-1,-1,-1,-1,-1,2,2,2,1
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
1,10,10,10,10,10,10,10,10,10,1,-1,9,-1,1,10,10,10,10,1,10,10,10,10,10,10,10,10,10,1
1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1
